instruction,mask,tags,schedule,latency,locs
CUSTOM0,0000000----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM4,0000010----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM11,0000101----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdIValid', 'stage': 3}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'RdStall', 'stage': 3}, {'interface': 'WrRD', 'stage': 3}]",4.0,
CUSTOM21,0001011----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdIValid', 'stage': 3}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'RdStall', 'stage': 3}, {'interface': 'WrRD', 'stage': 3}]",4.0,
CUSTOM24,0001110----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM28,01---------------100-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
,,,,,274.0
