,num_groups,num_instrs,max_instrs,min_instrs,avg_instrs,min_ii,max_ii,avg_ii,min_lat,max_lat,avg_lat,total_area_estimate,total_area_estimate_with_lifetimes,Variant idx,Variant name,Variant description,Variant details
0,9,9,1,1,1.0,1,1,1.0,3,3,3.0,1107.0,1107.0,0,V0,min_ii_min_lat:0,"SG1(II=1, lats={CFU0_PUSH_WEIGHTS: 1}, full_lats={CFU0_PUSH_WEIGHTS: 3}), SG2(II=1, lats={CFU0_SET_CODEBOOK_2B: 1}, full_lats={CFU0_SET_CODEBOOK_2B: 3}), SG3(II=1, lats={CFU0_SET_CODEBOOK_4B: 1}, full_lats={CFU0_SET_CODEBOOK_4B: 3}), SG4(II=1, lats={CFU0_SET_CODEBOOK_16B: 1}, full_lats={CFU0_SET_CODEBOOK_16B: 3}), SG5(II=1, lats={CFU0_ALU_MAC: 1}, full_lats={CFU0_ALU_MAC: 3}), SG6(II=1, lats={CFU0_ALU_RST: 1}, full_lats={CFU0_ALU_RST: 3}), SG7(II=1, lats={CFU0_MAC_READ: 1}, full_lats={CFU0_MAC_READ: 3}), SG8(II=1, lats={CFU0_MAC_READ_NO_RESET: 1}, full_lats={CFU0_MAC_READ_NO_RESET: 3}), SG9(II=1, lats={CFU0_DEBUG_DUMP: 1}, full_lats={CFU0_DEBUG_DUMP: 3})"
1,9,9,1,1,1.0,4,4,4.0,6,6,6.0,1107.0,1107.0,1,V1,max_ii_min_lat:0,"SG1(II=4, lats={CFU0_PUSH_WEIGHTS: 4}, full_lats={CFU0_PUSH_WEIGHTS: 6}), SG2(II=4, lats={CFU0_SET_CODEBOOK_2B: 4}, full_lats={CFU0_SET_CODEBOOK_2B: 6}), SG3(II=4, lats={CFU0_SET_CODEBOOK_4B: 4}, full_lats={CFU0_SET_CODEBOOK_4B: 6}), SG4(II=4, lats={CFU0_SET_CODEBOOK_16B: 4}, full_lats={CFU0_SET_CODEBOOK_16B: 6}), SG5(II=4, lats={CFU0_ALU_MAC: 4}, full_lats={CFU0_ALU_MAC: 6}), SG6(II=4, lats={CFU0_ALU_RST: 4}, full_lats={CFU0_ALU_RST: 6}), SG7(II=4, lats={CFU0_MAC_READ: 4}, full_lats={CFU0_MAC_READ: 6}), SG8(II=4, lats={CFU0_MAC_READ_NO_RESET: 4}, full_lats={CFU0_MAC_READ_NO_RESET: 6}), SG9(II=4, lats={CFU0_DEBUG_DUMP: 4}, full_lats={CFU0_DEBUG_DUMP: 6})"
2,9,9,1,1,1.0,1,1,1.0,4,4,4.0,1107.0,1107.0,2,V2,min_ii_max_lat:0,"SG1(II=1, lats={CFU0_PUSH_WEIGHTS: 2}, full_lats={CFU0_PUSH_WEIGHTS: 4}), SG2(II=1, lats={CFU0_SET_CODEBOOK_2B: 2}, full_lats={CFU0_SET_CODEBOOK_2B: 4}), SG3(II=1, lats={CFU0_SET_CODEBOOK_4B: 2}, full_lats={CFU0_SET_CODEBOOK_4B: 4}), SG4(II=1, lats={CFU0_SET_CODEBOOK_16B: 2}, full_lats={CFU0_SET_CODEBOOK_16B: 4}), SG5(II=1, lats={CFU0_ALU_MAC: 2}, full_lats={CFU0_ALU_MAC: 4}), SG6(II=1, lats={CFU0_ALU_RST: 2}, full_lats={CFU0_ALU_RST: 4}), SG7(II=1, lats={CFU0_MAC_READ: 2}, full_lats={CFU0_MAC_READ: 4}), SG8(II=1, lats={CFU0_MAC_READ_NO_RESET: 2}, full_lats={CFU0_MAC_READ_NO_RESET: 4}), SG9(II=1, lats={CFU0_DEBUG_DUMP: 2}, full_lats={CFU0_DEBUG_DUMP: 4})"
